index,证券代码,open,close,high,high_limit,成交额_亿,auction_pct,prev_limit_up,next_open,次日收益率_pct
2026-04-20,002273.XSHE,29.85,31.01,31.77,31.77,39.84,3.3587257617728516,0,30.83,-0.5804579168010471
2026-04-20,603822.XSHG,85.17,86.61,88.52,88.52,1.27,1.0320284697509008,0,86.01,-0.6927606511950013
2026-04-20,603139.XSHG,30.22,32.54,33.13,33.13,3.14,0.33200531208499307,0,33.0,1.41364474492931
2026-04-20,002432.XSHE,73.91,78.74,81.3,81.3,33.66,0.0,0,78.82,0.10160020320040264
2026-04-20,000977.XSHE,69.41,73.08,75.01,75.01,109.62,1.7891186390966318,0,70.97,-2.8872468527640915
2026-04-20,002580.XSHE,33.51,32.94,33.57,33.57,35.04,9.796854521625153,1,29.84,-9.41105039465695
2026-04-20,688227.XSHG,121.63,116.66,121.63,121.63,27.63,19.998026835043415,1,115.07,-1.3629350248585692
2026-04-20,000778.XSHE,4.54,4.75,4.91,4.91,7.79,1.7937219730941756,0,4.86,2.3157894736842266
2026-04-20,002528.XSHE,5.62,5.51,5.65,5.65,4.21,4.460966542750944,1,5.23,-5.081669691470047
2026-04-20,603580.XSHG,19.63,20.03,20.35,20.35,0.58,1.2899896800825594,0,19.8,-1.1482775836245684
2026-04-20,003041.XSHE,60.65,61.37,63.56,63.56,5.91,4.967116649359626,0,62.25,1.4339253707023047
2026-04-20,600152.XSHG,14.31,13.93,15.29,15.29,19.57,2.9496402877697836,1,13.81,-0.8614501076812608
2026-04-20,603021.XSHG,8.0,8.02,8.21,8.21,1.04,2.3017902813299296,0,7.99,-0.37406483790523026
2026-04-20,601002.XSHG,6.11,6.59,6.72,6.72,8.08,0.0,0,6.53,-0.9104704097116834
2026-04-21,002629.XSHE,6.68,7.03,7.33,7.33,4.79,0.30030030030030463,0,7.16,1.849217638691325
2026-04-21,000911.XSHE,5.91,6.25,6.46,6.46,2.06,0.6814310051107331,0,6.17,-1.2800000000000034
2026-04-21,600594.XSHG,4.58,4.81,5.04,5.04,7.04,0.0,0,4.89,1.6632016632016633
2026-04-21,603399.XSHG,12.85,13.48,13.97,13.97,12.04,1.1811023622047223,0,13.38,-0.7418397626112738
2026-04-21,002542.XSHE,2.15,1.96,2.15,2.15,4.22,4.878048780487809,1,1.89,-3.57142857142857
2026-04-21,002763.XSHE,7.44,7.87,8.2,8.2,2.25,-0.13422818791946067,0,7.84,-0.3811944091486663
2026-04-21,603778.XSHG,27.94,29.0,29.35,29.35,34.89,4.722638680659674,1,26.1,-9.999999999999998
2026-04-21,000752.XSHE,10.43,9.95,10.43,10.43,0.86,5.035246727089637,1,9.99,0.4020100502512669
2026-04-21,002168.XSHE,4.18,4.37,4.4,4.4,0.85,-0.23866348448688957,0,4.29,-1.830663615560646
2026-04-21,002693.XSHE,8.58,9.02,9.05,9.05,2.04,-0.46403712296982924,0,8.88,-1.552106430155198
2026-04-21,002512.XSHE,4.25,4.38,4.42,4.42,3.71,0.9501187648456089,1,4.31,-1.5981735159817378
2026-04-21,000767.XSHE,3.92,4.23,4.31,4.31,16.08,0.0,0,4.15,-1.891252955082745
2026-04-21,002496.XSHE,2.23,2.16,2.23,2.23,1.91,5.188679245283012,1,2.19,1.388888888888884
2026-04-21,600156.XSHG,11.2,9.78,11.2,11.2,13.1,10.019646365422386,1,9.34,-4.498977505112467
2026-04-21,603105.XSHG,11.0,11.7,12.07,12.07,5.98,0.27347310847765094,0,11.44,-2.2222222222222254
2026-04-21,002789.XSHE,13.3,13.85,14.03,14.03,0.65,-0.44910179640718084,0,13.6,-1.8050541516245522
2026-04-21,000552.XSHE,2.54,2.77,2.79,2.79,6.84,0.0,0,2.74,-1.0830324909747224
2026-04-21,603286.XSHG,64.7,69.5,70.74,70.74,7.42,0.6064375680298495,0,68.81,-0.992805755395676
2026-04-22,600816.XSHG,2.51,2.72,2.76,2.76,4.93,0.0,0,2.67,-1.8382352941176516
2026-04-22,002289.XSHE,30.0,30.73,30.78,30.78,2.08,2.3541453428863823,1,31.0,0.8786202408070265
2026-04-22,000938.XSHE,27.45,29.85,30.3,30.3,95.7,-0.32679738562091387,0,30.45,2.010050251256268
2026-04-22,600864.XSHG,6.94,7.45,7.69,7.69,16.43,-0.7153075822603716,0,7.45,0.0
2026-04-22,600208.XSHG,3.87,4.15,4.29,4.29,15.95,-0.7692307692307665,0,4.1,-1.2048192771084487
2026-04-22,002124.XSHE,2.91,3.04,3.17,3.17,13.59,1.041666666666674,0,2.95,-2.960526315789469
2026-04-22,600103.XSHG,5.49,5.49,5.71,5.71,39.1,5.780346820809235,1,5.31,-3.2786885245901787
2026-04-22,603876.XSHG,26.6,25.05,28.58,28.58,22.58,2.386451116243271,0,24.1,-3.792415169660679
2026-04-22,300857.XSHE,219.96,260.76,260.77,260.77,100.67,1.2194560765726337,0,259.01,-0.6711152017180533
2026-04-22,688401.XSHG,58.08,69.42,69.63,69.63,12.48,0.08616232982938676,0,64.72,-6.7703831748775585
2026-04-22,003027.XSHE,27.31,24.81,27.31,27.31,8.55,10.032232070910553,1,23.98,-3.3454252317613786
2026-04-22,002866.XSHE,28.81,27.24,29.14,29.14,18.99,8.758021895054746,0,27.26,0.07342143906021725
2026-04-22,603178.XSHG,22.4,21.16,23.19,23.19,12.98,6.261859582542706,1,19.04,-10.018903591682427
2026-04-22,601126.XSHG,49.06,52.89,54.37,54.37,21.29,-0.7485332793849886,0,53.58,1.3045944412932498
2026-04-22,603328.XSHG,13.25,14.21,14.72,14.72,12.24,-0.9715994020926821,0,14.23,0.14074595355382247
2026-04-22,688661.XSHG,103.78,119.18,124.05,124.05,22.35,0.3966334526458226,1,118.0,-0.990099009900991
2026-04-22,000707.XSHE,5.9,6.27,6.48,6.48,3.91,0.1697792869270076,0,6.21,-0.9569377990430561
2026-04-22,600961.XSHG,27.77,29.18,29.4,29.4,56.96,3.8907594463150064,1,28.58,-2.0562028786840325
2026-04-22,603220.XSHG,29.53,31.12,32.43,32.43,23.86,0.16960651289010809,0,30.92,-0.6426735218509005
2026-04-22,601138.XSHG,61.19,66.89,67.55,67.55,203.98,-0.3582478423709512,0,66.98,0.13454925997906653
2026-04-22,002726.XSHE,3.33,3.42,3.66,3.66,3.04,0.0,0,3.34,-2.3391812865497075
2026-04-22,301607.XSHE,34.02,39.41,40.79,40.79,8.83,0.08826125330980705,0,39.22,-0.4821111393047417
2026-04-22,002752.XSHE,7.26,7.11,7.49,7.49,9.55,6.607929515418509,1,7.04,-0.9845288326301049
2026-04-22,600531.XSHG,15.41,16.4,16.91,16.91,26.74,0.2602472348731455,0,16.46,0.3658536585366079
2026-04-22,601311.XSHG,10.47,10.87,11.28,11.28,15.59,2.146341463414636,0,10.82,-0.4599816007359592
2026-04-22,002429.XSHE,10.88,11.82,12.0,12.0,30.56,-0.274977085242889,0,11.91,0.761421319796951
2026-04-23,002717.XSHE,1.6,1.57,1.61,1.61,1.26,4.575163398692816,0,1.51,-3.821656050955413
2026-04-23,603115.XSHG,55.22,58.55,58.92,58.92,12.19,3.099327856609402,1,56.73,-3.108454312553377
2026-04-23,000404.XSHE,8.19,8.64,8.9,8.9,6.6,1.2360939431396822,0,8.51,-1.504629629629639
